square_footage,bedrooms,bathrooms,price
2100,3,2,500000
1600,2,1,320000
2400,4,3,560000
1400,2,1,310000
3000,4,3,750000
1800,3,2,400000
2000,3,2,450000
1700,2,2,370000
2500,4,3,600000
1500,2,1,330000
2600,3,2,620000
2700,4,3,640000
1900,3,2,410000
2200,3,2,480000
2800,4,3,660000
2300,3,2,510000
2100,3,2,530000
2900,4,3,680000
1700,3,2,390000
2000,3,2,470000
3100,4,3,770000
1600,2,1,350000
1500,2,1,340000
2700,3,2,630000
2800,4,3,680000
2500,3,2,600000
3000,4,3,720000
1800,3,2,410000
2100,3,2,490000
2200,3,2,520000
2300,3,2,530000
2500,4,3,610000
2600,4,3,640000
2000,3,2,460000
1800,3,2,420000
1900,3,2,430000
2400,4,3,580000
1700,2,1,380000
1500,2,1,350000
1600,2,2,370000
2500,4,3,610000
3000,4,3,710000
2900,4,3,690000
2800,4,3,670000
2700,4,3,650000
3100,4,3,720000
2000,3,2,470000
2200,3,2,490000
2400,4,3,610000
2600,4,3,630000
2800,4,3,650000
3000,4,3,680000
3200,4,3,700000
3400,5,4,750000
3600,5,4,780000
3800,5,4,800000
4000,5,4,820000
4200,5,4,850000
4400,5,4,870000
4600,5,4,890000
4800,5,4,920000
5000,5,4,950000
5200,5,4,970000
5400,5,4,990000
5600,5,4,1020000
5800,5,4,1050000
6000,5,4,1080000
6200,5,4,1100000
6400,5,4,1120000
6600,5,4,1150000
6800,5,4,1180000
7000,5,4,1200000
7200,5,4,1230000
7400,5,4,1250000
7600,5,4,1280000
7800,5,4,1300000
8000,5,4,1330000
8200,5,4,1350000
8400,5,4,1380000
8600,5,4,1400000
8800,5,4,1430000
9000,5,4,1450000
9200,5,4,1480000
9400,5,4,1500000
9600,5,4,1530000
9800,5,4,1550000
10000,5,4,1580000
10200,5,4,1600000
10400,5,4,1630000
10600,5,4,1650000
10800,5,4,1680000
11000,5,4,1700000
11200,5,4,1730000
11400,5,4,1750000
11600,5,4,1780000
11800,5,4,1800000
12000,5,4,1830000
12200,5,4,1850000
12400,5,4,1880000
12600,5,4,1900000
12800,5,4,1930000
13000,5,4,1950000
13200,5,4,1980000
13400,5,4,2000000
13600,5,4,2030000
13800,5,4,2050000
14000,5,4,2080000
14200,5,4,2100000
14400,5,4,2130000
14600,5,4,2150000
14800,5,4,2180000
15000,5,4,2200000
